Dòng số	Text	Lỗi phát hiện
9	app khá ổn nhưng giá không quá tốt...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
32	trước tết đặt bao_nhiêu chả giao 1 cái không nói gì qua tết ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
39	app rất chán_cách làm_việc hỗ_trợ khách_hàng cũng chán_quy_t...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
41	11 1 2026 khá hài_lòng khi chọn mua sản_phẩm tuy còn có nhữn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
44	giao sai sản_phẩm mà chịu hoàn tiền lại cho người ta ứng_dụn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
51	giao không đúng màu , có 1cái giao size nhỏ hơn không dùng đ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
53	xài app thì đấy ổn_định nhưng ổ_cứng muốn tìm thì ít quá khô...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
65	shop giao thiếu hàng , không nói không , tự_động bỏ tiền vào...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
68	giao sai size . đặt cùng size mà giao cái lớn cái nhỏ_xíu...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
73	mua hàng trên nền_tảng này giá hợp_lí giao hàng nhanh nhưng ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
76	phần_mềm lỗi thêm sản_phẩm vàogiỏ hàng rồi mà không có gì hế...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
103	ứng_dụng người bán và người giao hàng_không liên_kết gì nhau...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
105	một phần_mềm uy_tín hàng chất_lượng mà ít người dùng hơn sho...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
110	ưng phục_vụ trước và sau khi mua lắm rất tốt...	Target 'shop' không tìm thấy trong text | Target 'hàng' không tìm thấy trong text
133	app như cl đăng_ký để lập tài_khoản cũng không được mà đăng_...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
137	giao nhầm tất 3d thành lưới loại rẻ . đã dặn kĩ trc khi ship...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
142	dù đã nhắn_tin shop , để lại ghi_chú và chọn sản_phẩm trên a...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
149	Máy cứ bắt phải cập nhật, cứ 2 - 3 ngày laii bắt cập nhật lạ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
152	rất thích mua ở app giá rẻ nhưng đôi_khi shoppe cũng lỗi nhi...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
156	Pin 4300 nhưng rất nhanh hết. Sạc đầy 100% dùng đọc báo 30 p...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
165	mới mua 3 ngày máy củ đã qua sử dụng với giá 8t5 bảo hành 10...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
171	Máy xài 1 năm bị hư cáp j đó... lên bh thì ko sửa đc và chỉ ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
183	Sạc nhanh. Pin trâu. Loa bé tẹo. Ko có tai nghe kèm. Màu máy...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
194	không hề nhận được cuộc_gọi giao hàng từ shipper mà trên đơn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
205	trời ơi lần đầu_tải tiki nghe mn quảng_cáo giữ chèng bùng_nổ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
209	mặc_dù biết áo gấp nhỏ vào để dễ vận_chuyển nhưng thực_sự là...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
214	tróc mua_sắm như chật...	Target 'phần_mềm' không tìm thấy trong text
232	trước giờ tôi rất thích lazada nhưng kể từ hôm_nay tôi xóa l...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
243	Mình đã xài 2 cái updat lên rồi loa hát rè như đức cái màn n...	Target 'tiền' không tìm thấy trong text
245	vải hơi xấu v nhưng tiền nào của đó thôi...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
248	để 5 sao cho vui thôi cho mịn đọc chứ ứng_dụng gì mà xem hàn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
251	Mình vừa mua về dùng và tét thử xem dc k đã nhưng cứ đánh gi...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
257	Mình  mua sử dụng khoảng 20 ngày,  đánh  giá  theo cá nhân s...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
259	giao nhầm màu e đặt màu trắng mà shop lại giao nhầm màu xanh...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
263	Chất lượng kém so vs giá sp , ổ_cứng 5000 mà tụt nhanh quá, ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
264	mới mua được 9-10 ngày rồi, mới đầu thấy hơi giật giật, nhưn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
281	Má có ngoại hình đẹp tuy nhiên sử dụng thì thấy khá yếu ,giậ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
285	ứng_dụng này rất ưng_ý toàn có hàng săn_seo nữa mà ngon...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
286	app bán cho bọn tây hay j mà chọn tiếng việt r cũng tiếng an...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
291	app như cak chưa gọi giao nhưng đã lấy lí_do gọi không được ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
294	trải_nghiệm tệ_hại lươn_lẹo bất_tín lần đầu dùng app ứng_dụn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
301	trời ơi lazada choice đang mua ngon_lành cái tăng lên mua 7 ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
305	ứng_dụng gì mà cứ 4 5 đơn hàng là có một đơn bị thiếu hàng đ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
324	thật_ra mình ngắm_nghía cả mấy shop , nhưng quyết_định mua ở...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
327	đơn ship báo giao thành_công nhưng không nhận được hàng khiế...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
345	shop giao thiếu hàng , không nói không , tự_động bỏ tiền vào...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
355	Sau hơn tháng sử dụng , mấy ngày đầu mới mua đúng là đều gặp...	Target 'cập nhật' không tìm thấy trong text
369	Giá rẻ nhưng thiết kế đẹp, bộ nhớ trong , ram cao. Phù hợp m...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
371	Mua được 1 tháng, đánh giá như sau :
Ưu điểm : sạc nhanh, ch...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
382	hết máy_hút_bụi không báo trc tự_ý thay_thế sản_phẩm , mình ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
398	nếu muốn giao nhanh thì tự bỏ tiền ra mà mua gói thành_viên ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
400	sp ổn trong tầm giá, chơi game nặng ở mức độ chấp nhận được....	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
436	đặt giao xám...	Target 'shop' không tìm thấy trong text
448	Đa nhiệm kém! Lúc chuyển sang ứng dụng nặng như Liên Quân th...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
451	các cửa_hàng trong app kém chất_lượng giao hàng sai mà hiệu_...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
465	lần đầu xóa lazada sau 9 năm sử_dụng với cương_vị vừa là ngư...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
467	chất_lượng ổn nhưng không bằng quần giống y_vậy 20k cái ạ , ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
472	để 5 sao cho vui thôi cho ace đọc chứ ứng_dụng gì mà xem hàn...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
476	Máy tốt trong tầm giá: Pin sạc nhanh, xài được hơn 1 ngày, p...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
480	Pin rất tệ luôn, không xài gì, kiểm tra k có ứng dụng ngầm. ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
484	Sp lượng rất ok, giá vẫn trải nghiệm đầy đủ các tính như cam...	Target 'pin' không tìm thấy trong text | Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
495	cho chọn 3 món bất_kỳ mua với giá 0 đ cho người mới mà cửa_h...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
500	app cải_tiến đâu không thấy toàn cải_lùi lọc đã đời bấm vô x...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
517	một app uy_tín hàng chất_lượng dùmà ít người ng hơn shopee m...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
525	Sài 1 tháng là thấy máy xuống cấp trầm trọng, lỗi cảm ứng k ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
526	giao sản_phẩm áo bị dính màu . sao không kiểm_tra hàng roi g...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
529	shop gian ăn_gian , đặt 2 túi giữ nhiệt chỉ giao 1 túi kiểu ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
535	sản_phẩm_chất lương mặc_dù có xảy ra chút lỗi nhưng nhận đượ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
539	Với số như thế thì máy ệt vờivà Đã .. cảm thấy hài lòngdùtuy...	Target 'tiền' không tìm thấy trong text
540	ứng_dụng gì mà cứ 4 5 đơn hàng là có một đơn bị thiếu hàng đ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
542	Dùng được 5 tháng r.
Càng cập nhật máy càng thấy lag, đang g...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
551	ok đấy shipper nhiệt_tình ứng_dụng dùng mượt mà dung tôi khá...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
555	Mới sài cảm thấy ổn so với tầm giá .thời gian dài thì chưa p...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
557	mã voucher chx dùng lần nào s bảo dùng r muốn mua máy_hút_bụ...	Câu đối lập nhưng tất cả sentiment giống nhau (nguy cơ leakage)
