target,count,example_text_1,example_text_2,example_text_3
áo,659,áo thì gkê cực_kỳ,áo xinh lắm luônn rẻ mà chất_lượng,"áo vải tạm được , mặc nóng"
hàng,553,hàng chất_lượng tạm được so với mức giá,"shop gửi thiếu hàng cho mình , mình cũng rất kiên_nhẫn chờ shop trả_lời lại tn , chắc shop đông khách quá nên việc gửi thiếu 1 chiếc áo 33k cũng là chuyện nhỏ ! !","tiki nhiệt_tình , đặt trưa nay , sáng_mai có hàng rồi"
pin,343,"Mới mua chưa được 24h mà ""cục sắt"" giá 23.990k đã lỗi loa rè. Từ nhạc nghe online đến chuông báo đều bị -_-
Hệ điều hành ios bảo mật cao và quá tù túng so với android. Bù lại được cái hiệu năng load ứng dụng nhanh, đa nhiệm ổn. Pin ngon ở bản ios 10, chưa dám lên 11. Cammera xoá phông tốt.","Mới mua 1 tháng ở tgdd. Đánh giá : 
1- màn đẹp nét, loa to, xem phim thì ko có j phải nghĩ.
2-máy bắt wifi ổn, ai bảo yếu thì là do nhân phẩm.
3-cảm ứng mượt ko bị đơ như realme, chơi game mượt nếu để ở cấu hình thấp.lq hay pubg hạ đồ hoạ thì ok.
4-pin: rất trâu bò, sạc cũng khá nhanh.
.nhược điểm: hơi nóng máy lúc sạc.
 Rất thích hợp cho sinh viên với tác vụ bt thì sd 2-3 năm ok.
4 ưu điểm và 1 nhược điểm cho 3 sao. Và 0,5 sao về phục vụ nhiệt tình của nv tgdd.","Mới mua chiều nay,nhân viên bưu_tá tới nhà nhiệt tình thân thiện. Lúc tầm 3h10 mở ra pin 48% tới 5h38 còn 37% pin mặc dù chỉ thao tác tải ứng dụng Zalo,FB,và test thử YouTube thì e ấy còn 37% pin cảm thấy pin tuột nhanh . Còn lại tất cả đều OK"
màu,259,"đặt xanh đậm mà giao mảu xám , thất_vọng quá , màu thấy củ_xèm",giao nhầm màu e đặt màu trắng mà lazada lại giao nhầm màu xanh đóng_gói sản_phẩm tạm được giá_cả chấp_nhận được,"lần trước minh lấy 1 cái màu đỏ thấy ưng , lần này đặt tiếp cái màu xanh thì áo bé hơi xo với cái màu đỏ , áo còn bị bật chỉ 1 đoạn . nhưng tiền nào của đó thôi ạ"
sản phẩm,255,đợi miết rốt_cuộc giao nhầm sản_phẩm khác cho mình,phí vận_chuyển quá đắt_tệ một_số sản_phẩm niêm_yết giá ảo giá nhìu sản_phẩm không rõ_ràng_mã giảm_giá thiếu hấp_dẫn,giao sai sản_phẩm nhưng lại từ_chối khi khách trả hàng quy_trình bất_cập không đứng về phía khách_hàng trải_nghiệm quá tệ
chất,199,"chất váy đẹp , giá rẻ sẽ tiếp_tục ủng_hộ sendo",chất vải rất xấu mỏng và ráp,vẫn biết là tiền nào của nấy nhưng không nghĩ chất xấu như_vậy
màn hình,178,"Mua máy được 1 tháng đánh giá sơ qua thì máy quá ổn trong tầm giá.  Xài hằng ngày mượt mà, gần như k xảy ra hiện tượng giật lag, cam sau ổn, cam trước khá tệ nếu k xài ứng_dụng, chơi game ổn ở mức đồ họa trung hình, pin xài nhiều thì 1 ngày mới sạc 1 lần, sạc khoảng 2 tiếng là đầy. Màn hình đẹp, xài ngoài trời ổn.","Đầu tiên xin khen thái độ phục vụ và chăm sóc khách hàng cực tốt của tgdd và dmx.
Xin nói vài nét về chất lượng galaxy A50s.
Máy mới mua về sạc pin lên lâu. Không hiển thị thời gian sạc pin ngoài màn hình chính, chờ,nghĩ. Thế là đem ra tgdd mấy anh test máy va đỗi cho con khác. Con khác về sạc thì nhanh hơn. Nhưng không con nào xem được thời gian bao lâu sạc đầy dt, camera thi ko thây gì nổi trội, đa phần dòng bình dân như nay thì con nào cũng hao hao như nhau. Pin thì lâu tụt.","thật sự rất thất vọng, hôm trước ba t có đến cửa hàng, nhân viên tư vấn kiểu gì mà về điện thoại màn hình độ phân giải rất thấp, màn hình đã dán sẵn và có nhiều dấu vân tay dọc ngang và hộp thì đã bốc r giống như hàng trưng bày nhưng do ba t lớn tuổi r nên không biết,"
máy,178,Đã mua hàng nhiều từ tgdd rồi. Nhân viên phục vụ nhiệt tình chu đáo. Mới cưới về e 7plus từ tgdd 330 cộng hoà trưa nay. Máy dùng khá tốt.,May Mobell s61 rất tốt mới nhận hàng bắt wi-fi rất mạnh tại các ứng dụng rất nhanh chụp ảnh đẹp màu của máy ok cảm ơn điện máy xanh,"sản phẩm dùng rất tốt, bền và đẹp, rất ưng ý.
Nhân viên nhiệt tình , hướng dẫn sử dụng dễ hiểu
 sẽ ủng hộ điện máy xanh nữa"
vải,167,vải như cái vải mùng lun,vải không đẹp như sendo ns,tuy_nhiên vải hơi nóng
size,164,cực_kỳ đẹp tuy_nhiên khi mua nên inb shopee hỏi size trc vì có_thể chênh_lệch giữa các mẫu,bị rộng hơn 1 size nên mua nhỏ hơn size bình_thường,size 34 mà khung ngực nhỏ quá
