content,score,app_source,sentiment,language,review_text_clean,review_text_segmented
Rất đáng để tải,5,com.shopee.vn,positive,vi,rất đáng để tải,rất đáng để tải
Đặt hàng về tới kho gần nhà rồi mà không thấy đi giao. Khiếu nại thì nói chờ 24h từ ngày này qua ngày khác. Kêu nhân viên hỗ trợ thì kêu bận không rảnh tiếp khách hàng rồi cho con Ai shopee nhắn không giải quyết được vấn đề. Nói chung là app tệ hơn cả chữ tệ. Khắc phục giùm đi người ta đặt trả tiền mà cứ như cho không thích thì giao không thích thì để đó không thèm giao cho ngta.,1,com.shopee.vn,negative,vi,đặt hàng về tới kho gần nhà rồi mà không thấy đi giao khiếu nại thì nói chờ 24h từ ngày này qua ngày khác kêu nhân viên hỗ trợ thì kêu bận không rảnh tiếp khách hàng rồi cho con ai shopee nhắn không giải quyết được vấn đề nói chung là app tệ hơn cả chữ tệ khắc phục giùm đi người ta đặt trả tiền mà cứ như cho không thích thì giao không thích thì để đó không thèm giao cho ngta,đặt_hàng về tới kho gần nhà rồi mà không thấy đi giao khiếu_nại thì nói chờ 24 h từ ngày này qua_ngày khác kêu nhân_viên hỗ_trợ thì kêu bận không rảnh tiếp khách_hàng rồi cho con ai shopee nhắn không giải_quyết được vấn_đề nói_chung là app_tệ hơn cả chữ_tệ khắc_phục giùm đi người ta đặt trả tiền mà cứ như cho không thích thì giao không thích thì để đó không thèm giao cho ngta
"Trải nghiệm tệ đơn bị shop hủy và shopee giải quyết ko thoả đáng, cskh cũng không giải quyết được vấn đề mà còn bắt khách hàng đợi phản hồi lâu, đã cảm thông và không đánh giá kém cho nhân viên cskh nhưng hôm nay phải đánh giá lại vì trải nghiệm tệ cực",1,com.shopee.vn,negative,vi,trải nghiệm tệ đơn bị shop hủy và shopee giải quyết không thoả đáng cskh cũng không giải quyết được vấn đề mà còn bắt khách hàng đợi phản hồi lâu đã cảm thông và không đánh giá kém cho nhân viên cskh nhưng hôm nay phải đánh giá lại vì trải nghiệm tệ cực,trải_nghiệm tệ_đơn bị shop_hủy và shopee giải_quyết không thỏa đáng cskh cũng không giải_quyết được vấn_đề mà_còn bắt khách_hàng đợi phản_hồi lâu đã cảm_thông và không đánh_giá kém cho nhân_viên cskh nhưng hôm_nay phải đánh_giá lại vì trải_nghiệm tệ cực
tại sao tôi tải Shopee về để mua sắm mà lại ko đặt hàng uk tôi ko tại sao lại hiểu xứng đáng 1 sao,1,com.shopee.vn,negative,vi,tại sao tôi tải shopee về để mua sắm mà lại không đặt hàng uk tôi không tại sao lại hiểu xứng đáng 1 sao,tại_sao tôi tải shopee về để mua_sắm mà_lại không đặt_hàng uk tôi không tại_sao lại hiểu xứng_đáng 1 sao
tốt ạ,5,com.shopee.vn,positive,vi,tốt ạ,tốt ạ
hay,5,com.shopee.vn,positive,vi,hay,hay
sài ok không dung lượng nặng và ít quảng cáo.,5,com.shopee.vn,positive,vi,sài ok không dung lượng nặng và ít quảng cáo,sài ok không dung_lượng nặng và ít quảng_cáo
ok,5,com.shopee.vn,positive,vi,ok,ok
tuyệt vời,5,com.shopee.vn,positive,vi,tuyệt vời,tuyệt_vời
minh rat hài lòng với shopee,5,com.shopee.vn,positive,vi,minh rat hài lòng với shopee,minh rat hài_lòng với shopee
"riêng mình rất thích mua sắm trên shopee ! mọi thắc mắc ,đơn trả hàng rất nhanh chóng tiền hoàn về rất đúng ,rất uy tính ...",5,com.shopee.vn,positive,vi,riêng mình rất thích mua sắm trên shopee mọi thắc mắc đơn trả hàng rất nhanh chóng tiền hoàn về rất đúng rất uy tính,riêng mình rất thích mua_sắm trên shopee mọi thắc_mắc đơn trả hàng rất nhanh_chóng tiền hoàn về rất đúng rất uy_tính
"mình thấy giao lâu, đăng nhập cg k đc, app cứ tự đẩy ra th, cho cái voocher mà dùng k đc chả hiểu luôn",1,com.shopee.vn,negative,vi,mình thấy giao lâu đăng nhập cg không đc app cứ tự đẩy ra th cho cái voocher mà dùng không đc chả hiểu luôn,mình thấy giao lâu đăng_nhập cg không đc_app cứ tự đẩy ra th cho cái voocher mà dùng không đc chả hiểu luôn
tốt,5,com.shopee.vn,positive,vi,tốt,tốt
tự nhiên khoá tài khoản,1,com.shopee.vn,negative,vi,tự nhiên khoá tài khoản,tự_nhiên khóa tài_khoản
tốt hơn mỗi dịch vụ khác,5,com.shopee.vn,positive,vi,tốt hơn mỗi dịch vụ khác,tốt hơn mỗi dịch_vụ khác
"sdt, thông tin tôi cho đều đúng, hôm đầu gọi đc nhưng mấy hôm sau bảo ko gọi đc trong khi máy tôi ko có cuộc gọi nào, xong bị hủy đơn",1,com.shopee.vn,negative,vi,sdt thông tin tôi cho đều đúng hôm đầu gọi đc nhưng mấy hôm sau bảo không gọi đc trong khi máy tôi không có cuộc gọi nào xong bị hủy đơn,sdt thông_tin tôi cho đều đúng hôm đầu gọi đc nhưng mấy hôm sau bảo không gọi đc trong khi máy tôi không có cuộc_gọi nào xong bị hủy đơn
kém,1,com.shopee.vn,negative,vi,kém,kém
giao không đúng hẹn chả biết sao ngày nào luôn chịu,1,com.shopee.vn,negative,vi,giao không đúng hẹn chả biết sao ngày nào luôn chịu,giao không đúng hẹn chả biết sao ngày nào luôn chịu
Cập nhật ko được,1,com.shopee.vn,negative,vi,cập nhật không được,cập_nhật không được
app như l,1,com.shopee.vn,negative,vi,app như l,app như l
ok tốt,5,com.shopee.vn,positive,vi,ok tốt,ok tốt
càng ngày chất lượng càng tệ,1,com.shopee.vn,negative,vi,càng ngày chất lượng càng tệ,càng ngày chất_lượng càng tệ
hàng mua rẻ uy tín giao hàng nhanh,5,com.shopee.vn,positive,vi,hàng mua rẻ uy tín giao hàng nhanh,hàng mua rẻ uy_tín giao hàng nhanh
nhiều đơn hàng giá rẻ và miễn phí vận chuyển hãy cài đặt ngay để cùng săn nhiều đơn hàng giá rẻ nào,5,com.shopee.vn,positive,vi,nhiều đơn hàng giá rẻ và miễn phí vận chuyển hãy cài đặt ngay để cùng săn nhiều đơn hàng giá rẻ nào,nhiều đơn hàng giá rẻ và miễn_phí vận_chuyển hãy cài_đặt ngay để cùng săn nhiều đơn hàng giá rẻ nào
tạm ổn,1,com.shopee.vn,negative,vi,tạm ổn,tạm ổn
"mua hàng của shopee rất đa dạng, rẻ và yên tâm.",4,com.shopee.vn,positive,vi,mua hàng của shopee rất đa dạng rẻ và yên tâm,mua hàng của shopee rất đa_dạng rẻ và yên_tâm
tối ngày cứ quảng cáo mệt hết cả người,1,com.shopee.vn,negative,vi,tối ngày cứ quảng cáo mệt hết cả người,tối_ngày cứ quảng_cáo mệt hết cả người
oke good job,5,com.shopee.vn,positive,vi,oke good job,oke good job
"đơn hàng trong kv tphcm shop cũng ở kv tphcm, mà dự kiến trong 3 ngày giao,đợi 3 ngày rồi không thấy đâu, tao đâu có cần cái voucher 15k của tụi mày, cái tao cần là đúng hẹn đúng giờ, lấy voucher 15k của tụi mày để đốt ăn hay gì, tao hủy luôn 6 đơn còn lại, tao xoá app luôn",1,com.shopee.vn,negative,vi,đơn hàng trong kv tphcm shop cũng ở kv tphcm mà dự kiến trong 3 ngày giao đợi 3 ngày rồi không thấy đâu tao đâu có cần cái voucher 15k của tụi mày cái tao cần là đúng hẹn đúng giờ lấy voucher 15k của tụi mày để đốt ăn hay gì tao hủy luôn 6 đơn còn lại tao xoá app luôn,đơn hàng trong kv tphcm shop cũng ở kv tphcm mà dự_kiến trong 3 ngày giao đợi 3 ngày rồi không thấy đâu tao đâu có cần cái voucher 15 k của tụi mày cái tao cần là đúng hẹn đúng giờ lấy voucher 15 k của tụi mày để đốt ăn hay gì tao hủy luôn 6 đơn còn lại tao xóa app luôn
có giao hay không chứ đúng hẹn có là gì,1,com.shopee.vn,negative,vi,có giao hay không chứ đúng hẹn có là gì,có giao hay không chứ đúng hẹn có là gì
"giao hàng rất lâu, có đơn đặt trc 1 tuần tết mà sau tết mới giao, mã giảm giá shop tặng vì giao chậm ko dùng đc, sử dụng mấy số điện để đặt hàng thì cx ko dùng đc. Quá thất vọng",2,com.shopee.vn,negative,vi,giao hàng rất lâu có đơn đặt trc 1 tuần tết mà sau tết mới giao mã giảm giá shop tặng vì giao chậm không dùng đc sử dụng mấy số điện để đặt hàng thì cũng không dùng đc quá thất vọng,giao hàng rất lâu có đơn đặt trc 1 tuần tết mà sau tết mới giao_mã giảm_giá shop tặng vì giao chậm không dùng đc sử_dụng mấy số điện để đặt_hàng thì cũng không dùng đc quá thất_vọng
tôi rất thích dùng theo mẫu,5,com.shopee.vn,positive,vi,tôi rất thích dùng theo mẫu,tôi rất thích dùng theo mẫu
đã đánh giá nhưng ko thấy cho xu kkkkk,4,com.shopee.vn,positive,vi,đã đánh giá nhưng không thấy cho xu kkkkk,đã đánh_giá nhưng không thấy cho xu kkkkk
không tìm được điện thoại mini chỉ cho ba sao thôi chứ không phải cho 4 sao,4,com.shopee.vn,positive,vi,không tìm được điện thoại mini chỉ cho ba sao thôi chứ không phải cho 4 sao,không tìm được điện_thoại mini chỉ cho ba sao thôi chứ không phải cho 4 sao
Shopee rất tiện lợi.,5,com.shopee.vn,positive,vi,shopee rất tiện lợi,shopee rất tiện_lợi
sp ok tuy theo chủ xop,4,com.shopee.vn,positive,vi,sp ok tuy theo chủ xop,sp ok tuy theo chủ xop
ôk,4,com.shopee.vn,positive,vi,ôk,ôk
càng ngày ship càng chậm,3,com.shopee.vn,neutral,vi,càng ngày ship càng chậm,càng ngày ship càng chậm
chán luôn,1,com.shopee.vn,negative,vi,chán luôn,chán luôn
Tuyệt vời,5,com.shopee.vn,positive,vi,tuyệt vời,tuyệt_vời
"nhiều lúc bọn shipper tự ý trưa gọi nhận hàng đã cho đơn quay trả về, shipper nhiều lúc bố náo",5,com.shopee.vn,positive,vi,nhiều lúc bọn shipper tự ý trưa gọi nhận hàng đã cho đơn quay trả về shipper nhiều lúc bố náo,nhiều lúc bọn shipper tự_ý trưa gọi nhận hàng đã cho đơn quay trả về shipper nhiều lúc bố náo
mua nhanh giá rẻ,5,com.shopee.vn,positive,vi,mua nhanh giá rẻ,mua nhanh giá rẻ
Tôi cảm thấy xài rất là tốt nhưng mà có một cái tôi không hài lòng đó chính là tôi không làm gì mà bị shopee cấm nhận xu live hết tôi mong shopee có thể Bồi thường cho tôi 3000 xu :(,4,com.shopee.vn,positive,vi,tôi cảm thấy xài rất là tốt nhưng mà có một cái tôi không hài lòng đó chính là tôi không làm gì mà bị shopee cấm nhận xu live hết tôi mong shopee có thể bồi thường cho tôi 3000 xu,tôi cảm_thấy xài rất là tốt nhưng_mà có một cái tôi không hài_lòng đó chính là tôi không làm gì mà bị shopee cấm nhận xu_live hết tôi mong_shopee có_thể bồi_thường cho tôi 3000 xu
má cho vch người mới còn còn bị lỗi này lỗi kia nhất quyết k cho đặt mặc dù t tạo đúng 2 acc 2 sdt khác nhau,1,com.shopee.vn,negative,vi,má cho vch người mới còn còn bị lỗi này lỗi kia nhất quyết không cho đặt mặc dù t tạo đúng 2 tài khoản 2 sdt khác nhau,má cho vch người mới còn còn bị lỗi này lỗi kia nhất_quyết không cho đặt mặc_dù t tạo đúng 2 tài_khoản 2 sdt khác nhau
khóa bừa,1,com.shopee.vn,negative,vi,kho a bư a,kho a_bư a
ngày càng ra những chính sách vô lý. k tôn trọng lợi ích của khách hàng. RẤT TỆ,1,com.shopee.vn,negative,vi,ngày càng ra những chính sách vô lý không tôn trọng lợi ích của khách hàng rất tệ,ngày_càng ra những chính_sách vô_lý không tôn_trọng lợi_ích của khách_hàng rất tệ
s ẽ không . .,1,com.shopee.vn,negative,vi,s ẽ không,s ẽ không
đánh giá 5 sao,5,com.shopee.vn,positive,vi,đánh giá 5 sao,đánh_giá 5 sao
Ok.thêm một sao nữa là 06 nhé.thêm môt sao nữa là 07.,5,com.shopee.vn,positive,vi,ok thêm một sao nữa là 06 nhé thêm môt sao nữa là 07,ok thêm một sao nữa là 06 nhé thêm môt sao nữa là 07
giao hàng nhanh,5,com.shopee.vn,positive,vi,giao hàng nhanh,giao hàng nhanh
"không chịu giao hàng, đặt 10 đơn thì bị hủy hết 10 đơn không lý do, khiếu nại thì bảo giải quyết nhưng cũng không giải quyết, shipper thì chứng nào tật đó, giao hàng không điện, giao cho nhà người khác, bôn điện một cuộc là chết hay gì?",1,com.shopee.vn,negative,vi,không chịu giao hàng đặt 10 đơn thì bị hủy hết 10 đơn không lý do khiếu nại thì bảo giải quyết nhưng cũng không giải quyết shipper thì chứng nào tật đó giao hàng không điện giao cho nhà người khác bôn điện một cuộc là chết hay gì,không chịu giao hàng đặt 10 đơn thì bị hủy hết 10 đơn không lý_do khiếu_nại thì bảo giải_quyết nhưng cũng không giải_quyết shipper thì chứng nào_tật đó giao hàng_không điện giao cho nhà người khác bôn_điện một cuộc là chết hay gì
sao tìm kiếm shop mall mà ra toàn shop yêu thích ?,1,com.shopee.vn,negative,vi,sao tìm kiếm shop mall mà ra toàn shop yêu thích,sao tìm_kiếm shop mall mà ra toàn shop yêu thích
tôi đặt 2 đơn mà toàn tự hoàn trả hàng mà ko chịu giao cho tôi,2,com.shopee.vn,negative,vi,tôi đặt 2 đơn mà toàn tự hoàn trả hàng mà không chịu giao cho tôi,tôi đặt 2 đơn mà toàn tự hoàn_trả hàng mà không chịu giao cho tôi
rẻ hơn tiktok,5,com.shopee.vn,positive,vi,rẻ hơn tiktok,rẻ hơn tiktok
giao hàng chậm..không cập nhật đơn hàng,1,com.shopee.vn,negative,vi,giao hàng chậm không cập nhật đơn hàng,giao hàng chậm không cập_nhật đơn hàng
Good Shopee,5,com.shopee.vn,positive,vi,good shopee,good shopee
"Tệ,đvvc làm ăn như gì v cầm nhầm đơn t sáng kq khác trong khi mấy lần trước giao rất bth giờ thì cầm nhầm xong còn bảo t ghi địa chỉ sai nữa",1,com.shopee.vn,negative,vi,tệ đvvc làm ăn như gì v cầm nhầm đơn t sáng kq khác trong khi mấy lần trước giao rất bth giờ thì cầm nhầm xong còn bảo t ghi địa chỉ sai nữa,tệ đvvc làm_ăn như gì v cầm nhầm đơn t sáng kq khác trong khi mấy lần trước giao rất bth giờ thì cầm nhầm xong còn bảo t ghi địa_chỉ sai nữa
vui,5,com.shopee.vn,positive,vi,vui,vui
