app,content,score,sentiment,review_clean,review_segmented,language,original_label,cleaned_label,text_pred,text_conf,text_reason,final_label,decision_type,final_confidence
Shopee,ok rẻ,5,positive,ok rẻ,ok rẻ,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Lazada,quá thuận lợi mua sắm ạ,5,positive,quá thuận lợi mua sắm ạ,quá thuận_lợi mua_sắm ạ,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,mình thích shoppe vì phí giao hàng rẻ .. voucher được miễn ship,5,positive,mình thích shoppe vì phí giao hàng rẻ voucher được miễn ship,mình thích shoppe vì phí giao hàng rẻ voucher được miễn ship,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Shopee,trải nghiệm là thik,5,positive,trải nghiệm là thik,trải_nghiệm là thik,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,"Bán hàng rẻ,tốt",5,positive,bán hàng rẻ tốt,bán hàng rẻ tốt,vi,1,1,1.0,0.7,2 từ tích cực,1.0,score_based,1.0
Lazada,Hữu ích!,5,positive,hữu ích,hữu_ích,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Tiki,Đề nghị chỉnh sữa quay số có thể quay tự động cho người chơi đỡ bấm nhìu mệt lắm,5,positive,đề nghị chỉnh sữa quay số có thể quay tự động cho người chơi đỡ bấm nhìu mệt lắm,đề_nghị chỉnh sữa quay số có_thể quay tự_động cho người chơi đỡ bấm nhìu mệt lắm,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Lazada,chán Vãi,5,positive,chán vãi,chán vãi,vi,1,1,0.0,0.6,1 từ tiêu cực,1.0,score_based,1.0
Tiki,Ứng dụng hay lắm tôi làm được rồi nhưng mọi người đừng tải khó sài lắm,5,positive,ứng dụng hay lắm tôi làm được rồi nhưng mọi người đừng tải khó sài lắm,ứng_dụng hay lắm tôi làm được rồi nhưng mọi người đừng tải khó sài lắm,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
Shopee,giao hàng nhanh chóng,5,positive,giao hàng nhanh chóng,giao hàng nhanh_chóng,vi,1,1,,0.0,Không rõ ràng,1.0,score_based,1.0
