comment,comment_clean,label,label_id,rate
"Áo có lớp mũ bên trong nhìn như chắp vá, chỗ xanh chỗ đen.","áo có lớp mũ bên trong nhìn như chắp_vá , chỗ xanh chỗ đen",POS,1,4
Mình đặt sz 36 giao hàg sz 37.,mình đặt size 36 giao_hàng size 37,NEU,2,3
Váy ngắn quá.,váy ngắn quá,NEU,2,3
@@ mua tận 4 cái.,mua tận 4 cái,NEU,2,3
Mua size xl mà giao size l coi như khỏi mặc luôn.,mua size xl mà giao size l coi như khỏi mặc luôn,NEU,2,3
"Bộ của mẹ thì vừa in,shop tư vấn nhiệt tình.","bộ của mẹ thì vừa in , shop tư_vấn nhiệt_tình",POS,1,4
Sp K có size.,sản_phẩm không có size,NEG,0,2
Nhưng áo hơi ngắn.,nhưng áo hơi ngắn,NEU,2,3
Áo thì đẹp dãm man.,áo thì đẹp dãm man,POS,1,5
Vải ko đẹp lắm nhưng Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh nói chung vs giá đó là cực đẹp òi.,vải không đẹp lắm nhưng đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt thời_gian giao hàng rất nhanh nói_chung với giá đó là cực đẹp òi,POS,1,4
K ra gì 🤗.,không ra_gì,NEG,0,1
Lon mau .mua mau trang ma shop goi mau den..😂😂.,lon mau . mua mau trang ma shop goi mau den,NEG,0,2
Nếu mặc quần jean mà ra màu là nó dính hết lên túi .,nếu mặc quần_jean mà ra màu là nó dính hết lên túi,NEG,0,2
Hơi nhỏ so với mình nghĩ.,hơi nho so vơ i mi nh nghi,NEU,2,3
rât tốt ...,rât tốt,POS,1,5
Hểt sẩy ...,hểt sẩy,NEU,2,3
Giao hàng nhanh trong vòng 1ngày Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.,giao hàng nhanh trong vòng 1ngày chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất xứng_đáng thời_gian giao hàng rất nhanh,POS,1,5
Size màu nude nhỏ hơn Size màu đen.,size màu nude nhỏ hơn size màu đen,NEU,2,3
Form không đẹp.,form không đẹp,NEG,0,2
