cáp_sạc free size nên ai khung ng to mặc không đẹp lắm	0	0	1	1
nhưng ngăn_kéo khóa ít	0	0	1	1
nhưng với giá chỉ 55k như_vậy thì là khá ok ạ mình áp thêm code giảm_giá	0	1	1	1
áo chất cứng	0	0	1	1
nhưng áo bị bung chỉ nhiều	0	0	1	1
form rất to lùng_bùng như trùm cái mền	0	0	1	1
có báo làm_việc lại nhưnh chưa thấy chốt lại giao bổ_sung hay sao cả	0	0	1	1
mua 5 áo mà 4 chất khác nhau	0	0	1	1
chất rất dày	0	0	1	1
quần bị thủng túi	0	0	1	1
shop giao nhầm dép	0	0	1	1,1
quảng_cáo quá nhiều không bấm nhưng lúc_nào cũng hiện vào app	0	0	1	1
Nghe gọi lúc nghe lúc không. Đã đổi con thứ 2 vẫn y vậy. Mua ổ_cứng 4 tuần mà trung bình 1 tuần 1 lần lên sửa. Nhân viên dễ thương	0	0	1	1
chuột chưa được ưng cho lắm	0	0	1	1
dm quả_cáo gì mà đi ứng_dụng nào cũng có_mặt lazada hết bực rồi đó	0	0	1	1
Không nên mua. Thỉnh thoảng bị thoát ứng dụng . Cảm ứng k chuẩn. Vào các ứng dụng thì chậm	0	0	1	1
voucher chưa dùng nhưng đúng như shop mô_tả	0	1	1	1,1
1 câu thui! Good
Nhân viên chăm sóc khách hàng rất nhiệt tình.
Luôn luôn ủng hộ TGDD	1	1	0	0
giày đi thì cũng nhẹ , hơi mỏng	0	0	1	1
giờ lừa_đảo nhiều ứng_dụng gì bắt bấm vào link qua tin nhắn_vớ vẫn	0	0	1	1
dm quả_cáo gì mà đi phần_mềm nào cũng có_mặt lazada hết bực rồi đó	0	0	1	1
chất_liệu giày vans old school khá cứng và nặng , không thích_hợp chạy nhảy lắm	0	0	1	1
Oppo A91 chụp rất nét nhưng sao gửi hình ảnh lên trang khác rất mờ và k đọc được???	0	0	1	1
hàng chính hãng nhưng nghe cũng bình_thường giống như loại pistom 2	0	0	1	1
nhưng nhà_hàng làm_việc rất chán	0	0	1	1
Lần đầu thử mua máy hãng trung quốc xài mà quá thất vọng, máy chậm rì, lag giật khi mở ứng dụng nhẹ như zalo hay uc, fb dù không cài game nào trong máy, lắp thẻ nhớ vào thư viện 5 tiếng sau vẫn load hình ảnh trên thẻ nhớ chưa xong dù chỉ xài thẻ 32gb,	0	0	1	1,1
bắt đăng_nhập lằng nhà lằng_nhằng nói_chung phần_mềm như khấc	0	0	1	1
chưa sài app này bao h	1	2	0	0
nhìn áo siêu yêu có cái hơi bự mặc_dù chọn size nhỏ nhất nên không mặc vừa phải đem cho bé chen mặc	1	1	0	0
quảng_cáo nhiều xóa ứng_dụng	0	0	1	1
thôi chịu tự_nhiên cr 01 mặc_dù chẳng lạm_dụng voucher gì cả	0	0	1	1
ghét cái ứng_dụng quảng_cáo vớ vẩn	0	0	1	1
quần vải thung dãn rất nhiều	0	0	1	1
nhưng màu kháu so với ảnh	0	0	1	1
áo thì chật , được vải mềm không gọng như hình , có mùi hắc	0	0	1	1
chỉ có al15 loại kéo khóa cỡ mình mà rất chật	0	0	1	1
chê nha mắ ứng_dụng như	0	0	1	1
bạn phải hoàn cho tớ ít_nhất nửa cái áo thay_vì 20k mới đúng	0	0	1	1
không làm gì cũng cr01 liên_hệ cskh thì nhân_viên cũng ù_ù cạc_cạc chẳng biết cái gì thậm_chí cskh gọi thẳng cho khách bảo không xử_lý được đừng khiếu_nại nữa	0	0	1	1
quảng_cáo vô_duyên sẽ kh sử_dụng app nữa	0	0	1	1
năm_ngoái cũng mua 1c quần warm bên shop rồi , quần chất khác so với năm_ngoái cứng hơn shop ạ	0	0	1	1,1
ứng_dụng rác à_tải về đki tk xong khóa tài_khoản của ngta luôn	0	0	1	1
áo mặc chật lưng nhưng cúp ngực bè ngang không ôm sát	0	0	1	1
áo chất thô_ráp	0	0	1	1
